Nom,postal,INS
HASSELT,3500,71022
HASTIÈRE,5540,91142
Hastière-Lavaux,5540,91061
Hastière-par-delà ,5541,91062
Haulchin,7120,56036
Hauset,4730,63031
Haut-Fays,6929,84028
Haut-le-Wastia,5537,91063
Havay,7041,53037
HAVELANGE,5370,91064
Havinnes,7531,57036
Havré,7021,53038
Hechtel,3940,72013
HECHTEL-EKSEL,3940,72038
Heer,5543,91065
HEERS,3870,73022
Hees,3740,73023
Heestert,8551,34014
Heffen,2801,12012
Heikruis,1670,23029
Heindonk,2830,12013
Heinsch,6700,81011
Heist-aan-Zee,8301,31008
HEIST-OP-DEN-BERG,2220,12014
Hekelgem,1790,23030
Heks,3870,73024
Helchteren,3530,72014
Heldergem,9450,41025
HÉLÉCINE,1357,25118
Helen-Bos,3440,24037
Helkijn,8587,34015
Hellebecq,7830,51031
Hemelveerdegem,9571,45013
HEMIKSEM,2620,11018
Hemptinne-lez-Éghezée,5380,92063
Hemptinne-lez-Florennes,5620,93033
Hendrieken,3840,73025
Henis,3700,73026
Hennuyères,7090,55016
Henri-Chapelle,4841,63032
Henripont,7090,55017
HENSIES,7350,53039
Heppen,3971,71023
Heppenbach,4771,63033
Heppignies,6220,52032
HERBEUMONT,6887,84029
Herchies,7050,53040
Herderen,3770,73027
Herdersem,9310,41026
HERENT,3020,24038
HERENTALS,2200,13011
HERENTHOUT,2270,13012
Herfelingen,1540,23031
Hergenrath,4728,63034
Hérinnes,7742,57037
HERK-DE-STAD,3540,71024
Hermalle-sous-Argenteau,4681,62049
Hermalle-sous-Huy,4480,61027
Hermée,4680,62050
Hermelgem,9630,45067
Hermeton-sur-Meuse,5540,93034
HERNE,1540,23032
HÉRON,4217,61028
Herquegies,7911,51032
Herseaux,7712,54004
HERSELT,2230,13013
HERSTAL,4040,62051
HERSTAPPE,3717,73028
Hertain,7522,57038
Herten,3831,73029
Hertsberge,8020,31009
HERVE,4650,63035
HERZELE,9550,41027
Heule,8501,34016
Heure,5377,91066
Heure-le-Romain,4682,62052
Heurne,9700,45014
Heusden (Limburg),3550,71025
Heusden (Oost-Vlaanderen),9070,44028
HEUSDEN-ZOLDER,3550,71070
Heusy,4802,63036
HEUVELLAND,8950,33039
Hever,3191,24039
Heverlee,3001,24040
Hévillers,1435,25040
Heyd,6941,83025
Hillegem,9550,41028
Hingene,2880,12015
Hingeon,5380,92064
Hives,6984,83026
Hoboken,2660,11019
Hodeige,4351,64035
Hodimont,4800,63090
Hodister,6987,83027
Hody,4162,61029
HOEGAARDEN,3320,24041
HOEILAART,1560,23033
Hoeke,8340,31010
Hoelbeek,3746,73030
Hoeleden,3471,24042
Hoepertingen,3840,73031
HOESELT,3730,73032
Hoevenen,2940,11020
Hofstade (Oost-Vlaanderen),9308,41029
Hofstade (Vlaams-Brabant),1981,23034
Hogne,5377,91067
Hognoul,4342,62053
Hollain,7620,57039
Hollange,6637,82012
Hollebeke,8902,33010
Hollogne-aux-Pierres,4460,62054
Hollogne-sur-Geer,4250,64036
HOLSBEEK,3220,24043
Hombeek,2811,12016
Hombourg,4852,63037
Hompré,6640,82013
Hondelange,6780,81012
Honnay,5570,91068
HONNELLES,7387,53083
Honsem,3370,24131
HOOGLEDE,8830,36006
Hoogstade,8690,38011
HOOGSTRATEN,2320,13014
HOREBEKE,9667,45062
Horion-Hozémont,4460,62055
Hornu,7301,53041
Horpmaal,3870,73033
Horrues,7060,55018
HOTTON,6990,83028
Houdemont,6724,85017
Houdeng-Aimeries,7110,55019
Houdeng-Gœgnies,7110,55020
Houdrémont,5575,91069
HOUFFALIZE,6660,82014
Hour,5563,91070
Housse,4671,62056
Houtaing,7812,51033
Houtain-le-Val,1476,25041
Houtain-Saint-Siméon,4682,62057
Houtave,8377,31011
Houtem,8630,38012
Houthalen,3530,72015
HOUTHALEN-HELCHTEREN,3530,72039
Houthem,7781,54005
HOUTHULST,8650,32006
Houtvenne,2235,13015
Houwaart,3390,24044
Houx,5530,91071
HOUYET,5560,91072
HOVE,2540,11021
Hoves,7830,55021
Howardries,7624,57040
Huccorgne,4520,61030
Huise,9750,45015
Huissignies,7950,51034
Huizingen,1654,23035
HULDENBERG,3040,24045
HULSHOUT,2235,13016
Hulsonniaux,5560,91073
Hulste,8531,34017
Humain,6900,83029
Humbeek,1851,23036
Hundelgem,9630,45016
Huppaye,1367,25042
HUY,4500,61031
Hyon,7022,53042
ICHTEGEM,8480,35006
Iddergem,9472,41030
Idegem,9506,41031
IEPER,8900,33011
Impe,9340,41032
INCOURT,1315,25043
INGELMUNSTER,8770,36007
Ingooigem,8570,34018
Irchonwelz,7801,51035
Isières,7822,51036
Isnes,5032,92065
Itegem,2222,12017
Itterbeek,1701,23037
ITTRE,1460,25044
Ivoz-Ramet,4400,62083
IXELLES,1050,21009
IZEGEM,8870,36008
Izel,6810,85018
Izenberge,8691,38013
Izier,6941,83030
JABBEKE,8490,31012
JALHAY,4845,63038
Jallet,5354,92066
Jamagne,5600,93035
Jambes,5100,92067
Jamiolle,5600,93036
Jamioulx,6120,56037
Jamoigne,6810,85019
Jandrain-Jandrenouille,1350,25045
Jauche,1350,25046
Jauchelette,1370,25047
Javingue,5570,91074
Jehay-Bodegnée,4540,61032
Jéhonville,6880,84030
Jemappes,7012,53043
Jemelle,5580,91075
Jemeppe (-sur-Meuse),4101,62058
Jemeppe (-sur-Sambre),5190,92068
JEMEPPE-SUR-SAMBRE,5190,92140
Jeneffe (en Condroz),5370,91076
Jeneffe (en Hesbaye),4357,64037
Jesseren,3840,73034
JETTE,1090,21010
Jeuk,3890,71026
JODOIGNE,1370,25048
Jodoigne-Souveraine,1370,25049
Jollain-Merlin,7620,57041
Joncret,6280,52033
Julémont,4650,63039
Jumet,6040,52034
Jupille,4020,62059
Jupille-sur-Meuse,4020,62059
JUPRELLE,4450,62060
JURBISE,7050,53044
Juseret,6642,84031
Kaaskerke,8600,32007
Kachtem,8870,36009
Kaggevinne,3293,24046
Kaggevinne-Assent,3293,24136
Kain,7540,57042
Kalken,9270,42009
Kallo,9120,46010
Kallo (Beveren-Waas),9120,
Kallo (Kieldrecht),9130,
KALMTHOUT,2920,11022
KAMPENHOUT,1910,23038
Kanegem,8700,37004
Kanne,3770,73035
KAPELLEN (Antwerpen),2950,11023
Kapellen (Vlaams-Brabant),3381,24047
KAPELLE-OP-DEN-BOS,1880,23039
KAPRIJKE,9970,43007
Kaster,8572,34019
KASTERLEE,2460,13017
Kaulille,3950,72016
KEERBERGEN,3140,24048
Keiem,8600,32008
KELMIS,4720,63040
Kemexhe,4367,64038
Kemmel,8956,33012
Kemzeke,9190,46011
Kerkhove,8581,34020
Kerkom,3370,24049
Kerkom-bij-Sint-Truiden,3800,71027
Kerksken,9451,41033
Kermt,3510,71028
Kerniel,3840,73036
Kersbeek-Miskom,3472,24050
Kessel,2560,12018
Kessel-Lo,3010,24051
Kessenich,3640,72017
Kester,1755,23040
Kettenis,4701,63041
Keumiée,5060,92069
Kieldrecht,9130,46012
KINROOI,3640,72018
Kleine-Brogel,3990,72019
Kleine-Spouwen,3740,73037
Klein-Gelmen,3870,73038
Klemskerke,8420,35007
Klerken,8650,32009
KLUISBERGEN,9690,45060
Kluizen,9940,43008
KNESSELARE,9910,44029
Knokke,8300,31013
KNOKKE-HEIST,8300,31043
Kobbegem,1730,23041
KOEKELARE,8680,32010
KOEKELBERG,1081,21011
Koersel,3582,71029
KOKSIJDE,8670,38014
Kolmont,3700,73106
Kolmont (Borgloon),3840,
Kolmont (Tongeren),3700,
Koningshooikt,2500,12019
Koninksem,3700,73039
KONTICH,2550,11024
Kooigem,8510,34021
Koolkerke,8000,31014
Koolskamp,8851,37005
Korbeek-Dijle,3060,24052
Korbeek-Lo,3360,24053
KORTEMARK,8610,32011
KORTENAKEN,3470,24054
KORTENBERG,3070,24055
KORTESSEM,3720,73040
Kortijs,3890,71030
KORTRIJK,8500,34022
Kozen,3850,71031
Kraainem,1950,22002
KRAAINEM ,1950,23099
Krombeke,8972,33013
KRUIBEKE,9150,46013
KRUISHOUTEM,9770,45017
Kumtich,3300,24057
Kuringen,3511,71032
Kuttekoven,3840,73041
KUURNE,8520,34023
Kwaadmechelen,3945,71033
Kwaremont,9690,45018
LAAKDAL,2430,13053
Laar,3400,24058
LAARNE,9270,42010
La Bouverie,7080,53045
LA BRUYÈRE,5080,92141
Labuissière,6567,56038
Lacuisine,6821,85020
Ladeuze,7950,51037
Laeken,1020,21123
Laforêt,5550,91077
La Glanerie,7611,57043
La Gleize,4987,63042
Lahamaide,7890,51038
LA HULPE,1310,25050
LA LOUVIÈRE,7100,55022
Lamain,7522,57044
Lambermont,4800,63043
Lambusart,6220,52036
Lamine,4350,64039
Lamontzée,4210,61033
Lamorteau,6767,85021
Lampernisse,8600,32012
LANAKEN,3620,73042
Lanaye,4600,62061
Landegem,9850,44030
Landelies,6111,52037
LANDEN,3400,24059
Landenne,5300,61034
Landskouter,9860,44031
Laneffe,5651,93037
Langdorp,3201,24060
Langemark,8920,33014
LANGEMARK-POELKAPELLE,8920,33040
Lanklaar,3650,73043
Lanquesaint,7800,51039
Lantin,4450,62062
Laplaigne,7622,57045
Lapscheure,8340,31015
La Reid,4910,63044
LA ROCHE-EN-ARDENNE,6980,83031
LASNE,1380,25119
Lasne-Chapelle-Saint-Lambert,1380,25051
Lathuy,1370,25052
Latinne,4261,64041
Latour,6761,85022
Lauw,3700,73044
Lauwe,8930,34024
Lavacherie,6681,84032
Lavaux-Sainte-Anne,5580,91078
Lavoir,4217,61035
LEBBEKE,9280,42011
L'Écluse,1320,25053
LEDE,9340,41034
Ledeberg,9050,44032
LEDEGEM,8880,36010
Leefdaal,3061,24061
Leerbeek,1755,23042
Leernes,6142,52038
Leers-et-Fosteau,6530,56039
Leers-Nord,7730,57046
Leest,2811,12020
Leeuwergem,9620,41035
Leffinge,8432,35008
LÉGLISE,6860,84033
Leignon,5590,91079
Leisele,8691,38015
Leke,8600,32013
Lembeek,1502,23043
Lembeke,9971,43009
Lemberge,9820,44033
Le Mesnil,5670,93038
LENDELEDE,8860,34025
LENNIK,1750,23104
LENS,7870,53046
Lens-Saint-Remy,4280,64042
Lens-Saint-Servais,4250,64043
Lens-sur-Geer,4360,64044
LEOPOLDSBURG,3970,71034
LE RŒULX,7070,55035
Le Roux,5070,92070
Les Avins,4560,61036
LES BONS VILLERS,6210,52075
Les Bulles,6811,85023
L'Escaillère,6464,56040
Lesdain,7621,57047
Les Hayons,6830,84034
LESSINES,7860,55023
Lessive,5580,91080
Lesterny,6953,83032
Lesve,5170,92071
Les Waleffes,4317,61037
Letterhoutem,9521,41036
Leugnies,6500,56041
Leupegem,9700,45019
Leut,3630,73045
LEUVEN,3000,24062
Leuze (Hainaut),7900,57048
Leuze (Namur),5310,92072
LEUZE-EN-HAINAUT,7900,57094
Leval-Chaudeville,6500,56042
Leval-Trahegnies,7134,56043
Liberchies,6238,52039
LIBIN,6890,84035
Libramont,6800,84036
LIBRAMONT-CHEVIGNY,6800,84077
Lichtaart,2460,13018
LICHTERVELDE,8810,36011
LIEDEKERKE,1770,23044
Lieferinge,9400,41037
LIÈGE,4000,62063
Liège 1 (Rive Gauche),4000,
Liège 2 (Rive Droite),4020,
LIER,2500,12021
LIERDE,9570,45063
LIERNEUX,4990,63045
Liernu,5310,92073
Liers,4042,62064
Liezele,2870,12022
Ligne,7812,57049
Ligney,4254,64045
Ligny,5140,92074
LILLE,2275,13019
Lillo,2040,11059
Lillois-Witterzée,1428,25054
Limal,1300,25055
LIMBOURG,4830,63046
Limelette,1342,25056
Limerlé,6670,82015
Limont,4357,64046
LINCENT,4287,64047
Linchet,4577,61082
Linden,3210,24063
Linkebeek,1630,22003
LINKEBEEK ,1630,23100
Linkhout,3560,71035
Linsmeau,1357,25057
LINT,2547,11025
LINTER,3350,24133
Lippelo,2890,12023
Lisogne,5501,91081
Lissewege,8380,31016
Lives-sur-Meuse,5101,92075
Lixhe,4600,62065
Lo,8647,32014
LOBBES,6540,56044
LOCHRISTI,9080,44034
Lodelinsart,6042,52040
Loenhout,2990,11026
Loker,8958,33015
LOKEREN,9160,46014
Loksbergen,3545,71036
Lombardsijde,8434,35009
Lombise,7870,53047
LOMMEL,3920,72020
Lommersweiler,4783,63047
Lompret,6463,56045
Lomprez,6924,84037
Loncin,4431,62066
LONDERZEEL,1840,23045
Longchamps (-lez-Bastogne),6688,82016
Longchamps (-lez-Dhuy),5310,92076
Longlier,6840,84038
Longueville,1325,25058
Longvilly,6600,82017
LONTZEN,4710,63048
Lonzée,5030,92077
Loonbeek,3040,24064
Loppem,8210,31017
Lorcé,4987,61038
LO-RENINGE,8647,32030
Lot,1651,23046
Lotenhulle,9880,44035
Louette-Saint-Denis,5575,91082
Louette-Saint-Pierre,5575,91083
Loupoigne,1471,25059
Louveigné,4141,62067
Louveigné (Aywaille),4921,
Louveigné (Sprimont),4141,
LOVENDEGEM,9920,44036
Lovenjoel,3360,24065
Loverval,6280,52041
Loyers,5101,92078
LUBBEEK,3210,24066
Luingne,7700,54006
LUMMEN,3560,71037
Lustin,5170,92079
MAARKEDAL,9680,45064
Maarke-Kerkem,9680,45020
MAASEIK,3680,72021
MAASMECHELEN,3630,73107
Mabompré,6663,82018
Machelen (Oost-Vlaanderen),9870,44037
MACHELEN (Vlaams-Brabant),1830,23047
Macon,6591,56046
Macquenoise,6593,56047
Maffe,5374,91084
Maffle,7810,51040
Magnée,4623,62068
Maillen,5330,92080
Mainvault,7812,51041
Maisières,7020,53048
Maissin,6852,84039
Maizeret,5300,92081
Mal,3700,73046
MALDEGEM,9990,43010
Malderen,1840,23048
Malempré,6960,83033
Malèves-Sainte-Marie-Wastines,1360,25060
MALLE,2390,11057
MALMEDY,4960,63049
Malonne,5020,92082
Malvoisin,5575,91085
MANAGE,7170,52043
Manderfeld,4760,63050
MANHAY,6960,83055
Mannekensvere,8433,35010
Maransart,1380,25061
Marbais,1495,25062
Marbaix,6120,56048
MARCHE-EN-FAMENNE,6900,83034
Marche-les-Dames,5024,92083
Marche-lez-Écaussinnes,7190,55024
Marchienne-au-Pont,6030,52044
MARCHIN,4570,61039
Marchipont,7387,53049
Marchovelette,5380,92084
Marcinelle,6001,52045
Marcourt,6987,83035
Marcq,7850,55025
Marenne,6990,83036
Mariakerke (Oost-Vlaanderen),9030,44038
Mariakerke (West-Vlaanderen),8400,35030
Mariekerke,2880,12024
Mariembourg,5660,93039
Marienbourg,5660,93039
Marilles,1350,25063
Marke,8510,34026
Markegem,8720,37006
Marneffe,4210,61040
Marquain,7522,57050
MARTELANGE,6630,81013
Martenslinde,3742,73047
Martouzin-Neuville,5573,91086
Masbourg,6953,83037
Masnuy-Saint-Jean,7050,53050
Masnuy-Saint-Jean (Jurbise),7050,
Masnuy-Saint-Jean (Mons),7020,
Masnuy-Saint-Pierre,7050,53051
Massemen,9230,42012
Massenhoven,2240,11027
Matagne-la-Grande,5680,93040
Matagne-la-Petite,5680,93041
Mater,9700,45021
Maubray,7640,57051
Maulde,7534,57052
Maurage,7110,55026
Mazée,5670,93042
Mazenzele,1745,23049
Mazy,5032,92085
Méan,5372,91087
MECHELEN,2800,12025
Mechelen-aan-de-Maas,3630,73048
Mechelen-Bovelingen,3870,73049
Meeffe,4219,64048
Meensel-Kiezegem,3391,24067
Meer,2321,13020
Meerbeek,3078,24068
Meerbeke,9402,41038
Meerdonk,9170,46015
MEERHOUT,2450,13021
Meerle,2328,13022
Meeswijk,3630,73050
Meetkerke,8377,31018
Meeuwen,3670,72022
MEEUWEN-GRUITRODE,3670,72040
Mehaigne,5310,92086
Meigem,9800,44039
Meilegem,9630,45022
MEISE,1860,23050
MEIX-DEVANT-VIRTON,6769,85024
Meix-le-Tige,6747,81014
Melden,9700,45023
Meldert (-bij-Aalst),9310,41039
Meldert (-bij-Diest),3560,71038
Meldert (Vlaams-Brabant),3320,24069
Melen,4633,62069
Mélin,1370,25064
Melkwezer,3350,24070
MELLE,9090,44040
Mellery,1495,25065
Melles,7540,57053
Mellet,6211,52046
Mellier,6860,84040
Melsbroek,1820,23051
Melsele,9120,46016
Melsen,9820,44041
Membach,4837,63051
Membre,5550,91088
Membruggen,3770,73051
Mendonk,9042,44042
MENEN,8930,34027
MERBES-LE-CHÂTEAU,6567,56049
Merbes-Sainte-Marie,6567,56050
MERCHTEM,1785,23052
Merdorp,4280,64049
Mere,9420,41040
MERELBEKE,9820,44043
Merendree,9850,44044
Merkem,8650,32015
Merksem,2170,11028
MERKSPLAS,2330,13023
Merlemont,5600,93043
MESEN,8957,33016
Meslin-l'Évêque,7822,51042
Mesnil-Église,5560,91089
Mesnil-Saint-Blaise,5560,91090
Mespelare,9200,42013
MESSANCY,6780,81015
Messelbroek,3272,24071
Mesvin,7022,53052
Mettekoven,3870,73052
METTET,5640,92087
MEULEBEKE,8760,37007
Meux,5081,92088
Mévergnies,7942,51043
Mévergnies-lez-Lens,7942,51043
Meyerode,4770,63052
Michelbeke,9660,45024
Micheroux,4630,62070
Middelburg,9992,43011
MIDDELKERKE,8430,35011
Miécret,5376,91091
Mielen-Boven-Aalst,3891,71039
Mignault,7070,55027
Millen,3770,73053
Milmort,4041,62071
Minderhout,2322,13024
Mirwart,6870,84041
MODAVE,4577,61041
Moelingen,3790,73054
Moen,8552,34028
Moerbeke,9500,41041
MOERBEKE-WAAS,9180,44045
Moere,8470,35012
Moerkerke,8340,31019
Moerzeke,9220,42014
Moha,4520,61042
Mohiville,5361,91092
Moignelée,5060,92089
Moircy,6800,84042
MOL,2400,13025
Molenbaix,7760,57054
MOLENBEEK-SAINT-JEAN,1080,21012
Molenbeek-Wersbeek,3461,24072
Molenbeersel,3640,72023
Molenstede,3294,24073
Mollem,1730,23053
Momalle,4350,64050
MOMIGNIES,6590,56051
Monceau,5555,91093
Monceau-en-Ardenne,5555,91093
Monceau-Imbrechies,6592,56052
Monceau-sur-Sambre,6031,52047
MONS,7000,53053
Mons (Liège),4400,62072
Mons-lez-Liège,4400,62072
Mont (Luxembourg),6661,82019
Mont (Namur),5530,91094
Montbliart,6470,56053
MONT-DE-L'ENCLUS,7750,57095
Montegnée,4420,62073
Montenaken,3890,71040
Mont-Gauthier,5580,91095
Montignies-le-Tilleul,6110,52048
Montignies-lez-Lens,7870,53054
Montignies-Saint-Christophe,6560,56054
Montignies-sur-Roc,7387,53055
Montignies-sur-Sambre,6061,52049
MONTIGNY-LE-TILLEUL,6110,52048
Montleban,6674,82020
Mont-Saint-André,1367,25067
Mont-Saint-Aubert,7542,57056
Mont-Sainte-Aldegonde,7141,56055
Mont-Sainte-Geneviève,6540,56056
MONT-SAINT-GUIBERT,1435,25068
Mont-sur-Marchienne,6032,52050
Montzen,4850,63053
Moorsel,9310,41042
Moorsele,8560,34029
MOORSLEDE,8890,36012
Moortsele,9860,44046
Mopertingen,3740,73055
Moregem,9790,45025
Moresnet,4850,63054
Morhet,6640,82021
Morialmé,5621,93044
Morkhoven,2200,13026
Morlanwelz,7140,56057
MORLANWELZ ,7140,56087
Morlanwelz-Mariemont,7140,56057
Mormont,6997,83038
Mornimont,5190,92090
Mortier,4670,62074
MORTSEL,2640,11029
Morville,5620,93045
Moulbaix,7812,51044
Mourcourt,7543,57057
MOUSCRON,7700,54007
Moustier (-lez-Frasnes),7911,51045
Moustier (-sur-Sambre),5190,92091
Mouzaive,5550,91096
Moxhe,4280,64051
Mozet,5340,92092
Muizen (-bij-Mechelen),2812,23054
Muizen (-bij-Sint-Truiden),3891,71041
Mullem,9700,45026
Munkzwalm,9630,45027
Muno,6820,85025
Munsterbilzen,3740,73056
Munte,9820,44047
MUSSON,6750,85026
Mussy-la-Ville,6750,85027
My,4190,83039
Naast,7062,55028
Nadrin,6660,82022
Nafraiture,5550,91097
Nalinnes,6120,56058
Namêche,5300,92093
NAMUR,5000,92094
NANDRIN,4550,61043
Nanninne,5100,92095
Naomé,5555,91098
NASSOGNE,6950,83040
Natoye,5360,91099
NAZARETH,9810,44048
Néchin,7730,57058
Nederboelare,9500,41043
Nederbrakel,9660,45028
Nederename,9700,45029
Nederhasselt,9400,41044
Nederokkerzeel,1910,23055
Neder-Over-Heembeek,1120,21124
Nederzwalm,9636,45066
Nederzwalm-Hermelgem,9636,45030
Neerglabbeek,3670,71042
Neerharen,3620,73057
Neerhespen,3350,24074
Neerheylissem,1357,25069
Neerijse,3040,24075
Neerlanden,3404,24076
Neerlinter,3350,24077
Neeroeteren,3680,72024
NEERPELT,3910,72025
Neerrepen,3700,73058
Neervelp,3370,24078
Neerwinden,3400,24079
Neigem,9403,41045
Nerem,3700,73059
Nessonvaux,4870,62076
Néthen,1390,25070
Nettinne,5377,91100
NEUFCHÂTEAU,6840,84043
Neufchâteau (Liège),4608,63055
Neufmaison,7332,53057
Neufvilles,7063,53058
Neu-Moresnet,4721,63056
NEUPRÉ,4120,62121
Neuville (-le-Chaudron),5600,93046
Neuville-en-Condroz,4121,61044
Neuville-sous-Huy,,61083
NEVELE,9850,44049
NIEL,2845,11030
Niel-bij-As,3668,71043
Niel-bij-Sint-Truiden,3890,71044
Nieuwenhove,9506,41046
Nieuwenrode,1880,23056
NIEUWERKERKEN,3850,71045
Nieuwerkerken (-bij-Aalst),9320,41047
Nieuwkapelle,8600,32016
Nieuwkerke,8950,33017
Nieuwkerken-Waas,9100,46017
Nieuwmunster,8377,31020
NIEUWPOORT,8620,38016
Nieuwrode,3221,24080
NIJLEN,2560,12026
Nil-Saint-Vincent-Saint-Martin,1457,25071
Nimy,7020,53059
Nimy-Maisières,,53085
NINOVE,9400,41048
Nismes,5670,93047
NIVELLES,1400,25072
Niverlée,5680,93048
Nives,6640,82023
Nobressart,6717,81016
Nodebais,1320,25073
Noduwez,1350,25074
Noirchain,7080,53060
Noirefontaine,6831,84044
Noiseux,5377,91101
Nokere,9771,45031
Nollevaux,6851,84045
Noorderwijk,2200,13027
Noordschote,8647,32017
Nossegem,1930,23057
Nothomb,6717,81017
Nouvelles,7022,53061
Noville (-lez-Bastogne),6600,82024
Noville (-lez-Fexhe),4347,64052
Noville-les-Bois,5380,92096
Noville-sur-Mehaigne,5310,25075
Nukerke,9681,45032
Obaix,6230,52051
Obigies,7743,57059
Obourg,7034,53062
Ochamps,6890,84046
Ocquier,4560,61045
Odeigne,6960,83041
Odeur,4367,64053
Oedelem,8730,31021
Oekene,8800,36013
Oelegem,2520,11031
Oeren,8690,38017
Oeselgem,8720,37008
Oetingen,1755,23058
Œudeghien,7911,51046
Oevel,2260,13028
Offagne,6850,84047
Ogy,7862,55029
Ohain,1380,25076
OHEY,5350,92097
Oignies,,93049
Oignies-en-Thiérache,5670,93049
Oisquercq,1480,25077
Oizy,5555,91102
Okegem,9400,41049
OLEN,2250,13029
Oleye,4300,64054
Ollignies,7866,55030
Olloy-sur-Viroin,5670,93050
Olmen,2491,13030
OLNE,4877,63057
Olsene,9870,44050
Omal,4252,64055
Ombret-Rawsa,4540,61046
Omezée,5600,93051
On,6900,83042
ONHAYE,5520,91103
Onkerzele,9500,41050
Onnezies,7387,53063
Onoz,5190,92098
Onze-Lieve-Vrouw-Lombeek,1760,23059
Onze-Lieve-Vrouw-Tielt,3390,24106
Onze-Lieve-Vrouw-Waver,2861,12027
Ooigem,8710,37009
Ooike,9790,45033
Ooike (Oudenaarde),9700,
Ooike (Wortegem-Petegem),9790,
Oombergen,9620,41051
Oombergen (Sint-Lievens-Houtem),9520,
Oombergen (Zottegem),9620,
Oorbeek,3300,24081
Oordegem,9340,41052
Oorderen,2000,11061
Oostakker,9041,44051
Oostduinkerke,8670,38018
Oosteeklo,9968,43012
OOSTENDE,8400,35013
OOSTERZELE,9860,44052
Oostham,3945,71046
OOSTKAMP,8020,31022
Oostkerke (-bij-Brugge),8340,31023
Oostkerke (-bij-Diksmuide),8600,32018
Oostmalle,2390,11032
Oostnieuwkerke,8840,36014
OOSTROZEBEKE,8780,37010
Oostvleteren,8640,33018
Oostwinkel,9931,44053
Opbrakel,9660,45034
Opdorp,9255,42015
OPGLABBEEK,3660,71047
Opgrimbie,3630,73060
Ophain-Bois-Seigneur-Isaac,1421,25078
Ophasselt,9500,41053
Opheers,3870,73061
Opheylissem,1357,25079
Ophoven,3640,72026
Opitter,3960,72027
Oplinter,3300,24082
Opoeteren,3680,72028
Opont,6852,84048
Opprebais,1315,25080
Oppuurs,2890,12028
Opvelp,3360,24083
OPWIJK,1745,23060
Orbais,1360,25081
Orchimont,5550,91104
Orcq,7501,57060
Ordingen,3800,71048
Oret,5640,93052
OREYE,4360,64056
Orgeo,6880,84049
Ormeignies,7802,51047
ORP-JAUCHE,1350,25120
Orp-le-Grand,1350,25082
Orroir,7750,57061
Orsmaal,3350,24132
Orsmaal-Gussenhoven,3350,24084
Ortho,6983,83043
Ostiches,7804,51048
Otegem,8553,34030
Oteppe,4210,61047
Othée,4340,62077
Ottenburg,3040,24085
Ottergem,9420,41054
Ottignies,1340,25083
OTTIGNIES-LOUVAIN-LA-NEUVE,1340,25121
Oudegem,9200,42016
Oudekapelle,8600,32019
OUDENAARDE,9700,45035
Oudenaken,1600,23061
OUDENBURG,8460,35014
OUD-HEVERLEE,3050,24086
OUD-TURNHOUT,2360,13031
